NAME_LATIN,Year,age
K. NIATVN,2019.0,61.0
K. NIKAIAS,2019.0,55.0
K. NIKHSIANHS,2019.0,45.0
K. NIKHTHS (NIKHTA)_1,2019.0,53.0
K. NOMIVN_1,2019.0,50.0
K. NYMFAIOY,2019.0,61.0
K. OIAS,2019.0,52.0
K. OINOFYTVN,2019.0,34.0
K. OITYLOY,2019.0,60.0
K. OIXALIAS,2019.0,39.0
K. OSSHS_2,2019.0,27.0
K. PALAIAS EPIDAYROY (ARXAIAS),2019.0,44.0
K. PALAIAS FVKAIAS,2019.0,31.0
K. PALAIOXVRAS_2,2019.0,60.0
K. PALAIOY ELEYUEROXVRIOY,2019.0,53.0
K. PALAIROY,2019.0,61.0
K. PALATITSIVN,2019.0,34.0
K. PANAITVLIOY,2019.0,61.0
K. PANORAMATOS_4,2019.0,47.0
K. PANTANASSHS_4,2019.0,61.0
K. PAPPADIANIKVN,2019.0,53.0
K. PARALIAS_1,2019.0,53.0
K. PARALIOY ASTROYS,2019.0,28.0
K. PATRIDOS,2019.0,47.0
K. PAYLIANHS,2019.0,44.0
K. PEDINHS,2019.0,43.0
K. PENTALOFOY_1,2018.0,60.0
K. PENTALOFOY_4,2019.0,54.0
K. PENTELHS,2019.0,59.0
K. PERAIAS_2,2019.0,32.0
K. PERDIKAS_4,2019.0,45.0
K. PERIGIALIOY,2018.0,42.0
K. PERISTERVNAS,2019.0,41.0
K. PETALIDIOY,2019.0,39.0
K. PETA_2,2018.0,11.0
K. PETRITSIOY,2019.0,61.0
K. PETRIVN_1,2019.0,40.0
K. PEYKOXVRIOY,2019.0,29.0
K. PHGADAKIVN_2,2019.0,58.0
K. PHGAIDAKIVN_1,2019.0,49.0
